Date,Open,High,Low,Close,Adj Close,Volume
11/7/2000,7.0625,7.3125,7.03125,7.265625,0.022564,1193200
11/8/2000,7.359375,7.359375,7.125,7.125,0.022128,2472400
11/9/2000,7.078125,7.125,6.9375,7,0.021739,3443200
11/10/2000,6.953125,7.09375,6.921875,6.9375,0.021545,2756000
11/13/2000,6.84375,7.03125,6.84375,6.984375,0.021691,3948400
11/14/2000,7.078125,7.15625,7.046875,7.0625,0.021933,2870400
11/15/2000,7.09375,7.125,7,7.109375,0.022079,1294400
11/16/2000,7.0625,7.34375,7.0625,7.34375,0.022807,2372000
11/17/2000,7.1875,7.34375,7.03125,7.078125,0.021982,2003600
11/20/2000,7.0625,7.203125,7.015625,7.203125,0.02237,1155200
11/21/2000,7.140625,7.390625,7.125,7.34375,0.022807,2858000
11/22/2000,7.234375,7.3125,7.171875,7.1875,0.022322,3782000
11/24/2000,6.921875,7,6.796875,6.90625,0.021448,1526400
11/27/2000,6.84375,6.921875,6.625,6.71875,0.020866,4482800
11/28/2000,6.703125,6.75,6.609375,6.65625,0.020672,3495600
11/29/2000,6.6875,6.6875,6.59375,6.640625,0.020623,3479600
11/30/2000,6.546875,6.625,6.390625,6.4375,0.019992,5722000
12/1/2000,6.296875,6.5625,6.296875,6.5,0.020187,2557600
12/4/2000,6.375,6.484375,6.3125,6.46875,0.02009,1984400
12/5/2000,6.5625,6.671875,6.546875,6.59375,0.020478,2255600
12/6/2000,6.53125,6.53125,6.03125,6.078125,0.018876,7922400
12/7/2000,6.109375,6.171875,6.03125,6.15625,0.019119,3490400
12/8/2000,6.234375,6.265625,6.125,6.171875,0.019168,8711600
12/11/2000,6.3125,6.3125,6.0625,6.171875,0.019168,3858400
12/12/2000,6.1875,6.1875,6.0625,6.09375,0.018925,3153200
12/13/2000,6.125,6.390625,6.125,6.28125,0.019507,5368400
12/14/2000,6.5,6.546875,6.421875,6.515625,0.020235,5382400
12/15/2000,6.578125,6.578125,6.25,6.4375,0.019992,2762000
12/18/2000,6.5,6.5,6.359375,6.421875,0.019944,1403600
12/19/2000,6.359375,6.390625,6.296875,6.34375,0.019701,2298000
12/20/2000,6.125,6.25,6.125,6.21875,0.019313,4764400
12/21/2000,6.0625,6.234375,6.046875,6.15625,0.019119,4501600
12/22/2000,6.21875,6.265625,6.125,6.21875,0.019313,3041600
12/26/2000,6.21875,6.234375,6,6.125,0.019022,3395600
12/27/2000,6.140625,6.15625,6.03125,6.140625,0.01907,4597200
12/28/2000,6.15625,6.296875,6.140625,6.296875,0.019556,4428400
12/29/2000,6.359375,6.375,6.1875,6.3125,0.019604,2417200
1/2/2001,6.40625,6.46875,6.375,6.4375,0.019992,4485200
1/3/2001,6.453125,6.90625,6.421875,6.90625,0.021448,4673600
1/4/2001,6.90625,6.9375,6.796875,6.828125,0.021206,5982400
1/5/2001,6.9375,6.9375,6.640625,6.703125,0.020817,1979200
1/8/2001,6.6875,6.75,6.515625,6.734375,0.020914,1747600
1/9/2001,6.8125,6.859375,6.734375,6.8125,0.021157,1227600
1/10/2001,6.703125,6.859375,6.703125,6.859375,0.021303,2758400
1/11/2001,6.828125,6.875,6.796875,6.875,0.021351,1554000
